# performed: 12046186 steps
# collection matrix updated: 120 times
# minimum microstate: 70
# maximum microstate: 140
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
70 44062.6697269295 126338.45176102396 31175.87851204593 1.2330717005316083 -1.2330717005316083 0 0 201576
71 42004.97338282881 121872.94066281202 29921.085954357975 1.5703972120362513 -1.5703972120362513 -1.8666650877765019 -0.33732551150464296 193799
72 41024.10077386862 118574.09219587558 28784.80703025522 1.9140062120142731 -1.9140062120142731 -2.205186061441303 -0.6809345114826648 188383
73 39554.371242131536 115439.66097832666 27929.967779541028 2.26160306858268 -2.26160306858268 -2.5598739729731914 -1.0285313680510715 182924
74 38807.1926870731 112082.23339805077 27081.57391487621 2.6183778873876307 -2.6183778873876307 -2.908367355703371 -1.3853061868560221 177971
75 37951.83309587528 111251.82509159477 26724.341812530733 2.967896734474417 -2.967896734474417 -3.2682520479232995 -1.7348250339428084 175928
76 37488.197333834374 110730.380528175 26498.422137990685 3.3136049260959037 -3.3136049260959037 -3.619310437780131 -2.080533225564295 174717
77 37235.526515155376 110007.09585421628 26100.377630629184 3.661528398699872 -3.661528398699872 -3.9668483049506644 -2.4284566981682634 173343
78 37024.75902627866 110316.17904626556 26139.061927455765 4.010841983459063 -4.010841983459063 -4.322377192103303 -2.777770282927454 173481
79 37118.19170710872 110995.80956745238 26288.99872543935 4.35616043801117 -4.35616043801117 -4.670189846443725 -3.123088737479561 174403
80 37090.48083828074 110889.38475679535 26033.134404923283 4.702606099351007 -4.702606099351007 -5.01529865810355 -3.4695343988193983 174013
81 36586.65036471938 110275.24333881504 25946.106296466125 5.049744494120578 -5.049744494120578 -5.369367238380775 -3.8166727935889693 172808
82 36302.513698086674 110002.56862638566 25816.917675527144 5.3892057461586305 -5.3892057461586305 -5.712589911848982 -4.156134045627022 172122
83 35839.93679957875 109608.75946467031 25452.303735751964 5.72404946156321 -5.72404946156321 -6.053355834826659 -4.490977761031601 170901
84 35911.30131630312 109833.93378073085 25436.764902966614 6.066534484916742 -6.066534484916742 -6.395030085396851 -4.833462784385134 171182
85 36206.23927405974 111285.427125322 25764.33360061825 6.407891550424502 -6.407891550424502 -6.740235594517518 -5.174819849892893 173256
86 35565.658553575915 110832.14974973317 25435.19169669043 6.738494995156556 -6.738494995156556 -7.080542918227479 -5.505423294624947 171833
87 35327.62413803392 110811.24576166348 25450.130100301667 7.068844769323812 -7.068844769323812 -7.415890419447866 -5.835773068792204 171589
88 35587.62819447072 112254.38974920669 25808.98205632272 7.392666238353231 -7.392666238353231 -7.744680082646312 -6.159594537821622 173651
89 35087.22050651699 111158.74175600178 25612.037737481864 7.709598885874403 -7.709598885874403 -8.064906701193138 -6.476527185342794 171858
90 34623.089878470026 110978.65085462181 25236.259266907673 8.017136118380899 -8.017136118380899 -8.380196289604442 -6.78406441784929 170838
91 34731.36518701881 110522.41704552909 25133.217767452017 8.33867688107707 -8.33867688107707 -8.696154842454321 -7.105605180545462 170387
92 34553.67562471521 110431.21331876956 25248.111056515852 8.657781227490444 -8.657781227490444 -9.018857159387986 -7.424709526958836 170233
